source/target,Color,DCP,Luminance,Structure
Color,0.257805,0.248474,0.262383,0.231338
DCP,0.263129,0.236628,0.227171,0.273072
Luminance,0.237376,0.245537,0.237729,0.279358
Structure,0.247398,0.235018,0.284464,0.233121
